date,timestamp,open,high,low,close,volume
2026-01-08 13:15:00-05:00,2026-01-08 13:15:00-05:00,688.94,689.715,688.8,689.48,35906.0
2026-01-08 13:30:00-05:00,2026-01-08 13:30:00-05:00,689.51,689.56,689.25,689.42,34150.0
2026-01-08 13:45:00-05:00,2026-01-08 13:45:00-05:00,689.41,689.8,688.77,688.9,41145.0
2026-01-08 14:00:00-05:00,2026-01-08 14:00:00-05:00,688.86,689.32,688.62,688.665,46166.0
2026-01-08 14:15:00-05:00,2026-01-08 14:15:00-05:00,688.67,689.29,688.28,688.87,47189.0
2026-01-08 14:30:00-05:00,2026-01-08 14:30:00-05:00,688.9,689.29,688.6,688.72,29689.0
2026-01-08 14:45:00-05:00,2026-01-08 14:45:00-05:00,688.7,689.12,688.58,688.87,38854.0
2026-01-08 15:00:00-05:00,2026-01-08 15:00:00-05:00,688.82,689.31,688.74,689.265,54885.0
2026-01-08 15:15:00-05:00,2026-01-08 15:15:00-05:00,689.27,689.64,688.89,689.57,62362.0
2026-01-08 15:30:00-05:00,2026-01-08 15:30:00-05:00,689.58,690.04,689.26,689.44,97556.0
2026-01-08 15:45:00-05:00,2026-01-08 15:45:00-05:00,689.45,689.86,689.31,689.44,189778.0
2026-01-08 16:00:00-05:00,2026-01-08 16:00:00-05:00,689.52,689.89,689.52,689.72,21213.0
2026-01-09 09:30:00-05:00,2026-01-09 09:30:00-05:00,690.6,692.255,690.47,691.405,58567.0
2026-01-09 09:45:00-05:00,2026-01-09 09:45:00-05:00,691.41,691.79,690.53,691.51,43582.0
2026-01-09 10:00:00-05:00,2026-01-09 10:00:00-05:00,691.58,691.93,689.21,691.29,84274.0
2026-01-09 10:15:00-05:00,2026-01-09 10:15:00-05:00,691.34,693.34,690.92,693.11,64920.0
2026-01-09 10:30:00-05:00,2026-01-09 10:30:00-05:00,693.21,693.45,691.64,691.675,81280.0
2026-01-09 10:45:00-05:00,2026-01-09 10:45:00-05:00,691.61,692.1,691.32,691.94,44546.0
2026-01-09 11:00:00-05:00,2026-01-09 11:00:00-05:00,691.96,693.635,691.96,693.455,69228.0
2026-01-09 11:15:00-05:00,2026-01-09 11:15:00-05:00,693.46,693.55,692.83,692.83,46074.0
2026-01-09 11:30:00-05:00,2026-01-09 11:30:00-05:00,692.82,693.23,692.56,693.175,35405.0
2026-01-09 11:45:00-05:00,2026-01-09 11:45:00-05:00,693.15,694.03,693.15,693.88,75706.0
2026-01-09 12:00:00-05:00,2026-01-09 12:00:00-05:00,693.9,694.27,693.725,694.185,43937.0
2026-01-09 12:15:00-05:00,2026-01-09 12:15:00-05:00,694.15,694.37,693.77,694.23,41742.0
2026-01-09 12:30:00-05:00,2026-01-09 12:30:00-05:00,694.2,694.5,694.01,694.095,37546.0
